original_ORF_annotation	query	target	description	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
>LOKIASV2_20040 PIG-L family deacetylase	LOKIASV2_2004_ESMFold_PIG-L_family_deacetylase	4xm0-assembly1.cif.gz_C	N,N'-diacetylchitobiose deacetylase (SeMet derivative) from Pyrococcus furiosus in the absence of cadmium 	0.253	236	167	2	226	25	260	4.063E-15	462
>LOKIASV2_20050 MFS transporter	LOKIASV2_2005_ESMFold_MFS_transporter	AF-Q5XGK0-F1-model_v4	Protein spinster homolog 1 	0.18	409	326	2	400	84	492	3.395E-10	487
>LOKIASV2_20060 hypothetical protein	LOKIASV2_2006_ESMFold_hypothetical_protein	4u06-assembly1.cif.gz_A	Structure of Leptospira interrogans LRR protein LIC10831 	0.185	380	227	143	522	65	344	1.577E-12	334
>LOKIASV2_20070 hypothetical protein	LOKIASV2_2007_ESMFold_hypothetical_protein	AF-P0DD30-F1-model_v4	Protease HtpX homolog 	0.3	50	34	5	53	7	56	3.25	58
>LOKIASV2_20080 hypothetical protein	LOKIASV2_2008_ESMFold_hypothetical_protein	4f9d-assembly2.cif.gz_B	Structure of Escherichia coli PgaB 42-655 in complex with nickel 	0.093	335	293	2	336	268	591	0.00001688	129
>LOKIASV2_20090 class I SAM-dependent methyltransferase	LOKIASV2_2009_ESMFold_class_I_SAM-dependent_methyltransferase	3e23-assembly1.cif.gz_A	Crystal structure of the RPA2492 protein in complex with SAM from Rhodopseudomonas palustris, Northeast Structural Genomics Consortium Target RpR299 	0.216	205	150	6	210	5	196	4.376E-15	448
>LOKIASV2_20100 hypothetical protein	LOKIASV2_2010_ESMFold_hypothetical_protein	6ajr-assembly1.cif.gz_A	Complex form of Uracil DNA glycosylase X and uracil 	0.138	171	131	51	221	43	195	0.00001494	149
>LOKIASV2_20110 mannonate dehydratase	LOKIASV2_2011_ESMFold_mannonate_dehydratase	AF-B2TGB8-F1-model_v4	Mannonate dehydratase 	0.553	344	153	1	343	1	344	2.797E-50	1891
>LOKIASV2_20120 SDR family oxidoreductase	LOKIASV2_2012_ESMFold_SDR_family_oxidoreductase	AF-O34896-F1-model_v4	Uncharacterized oxidoreductase UxuB 	0.524	283	131	21	303	2	278	1.785E-37	1414
>LOKIASV2_20130 sugar kinase	LOKIASV2_2013_ESMFold_sugar_kinase	2afb-assembly1.cif.gz_A	Crystal structure of 2-dehydro-3- deoxygluconokinase (EC 2.7.1.45) (tm0067) from THERMOTOGA MARITIMA at 2.05 A resolution 	0.454	337	177	3	339	4	329	2.619E-42	1516
>LOKIASV2_20140 hypothetical protein	LOKIASV2_2014_ESMFold_hypothetical_protein	6cww-assembly1.cif.gz_A	Cs H-NOX mutant with unnatural amino acid 4-cyano-L-phenylalanine at site 5 	0.092	191	161	17	207	1	178	0.0008668	98
>LOKIASV2_20150 glycoside hydrolase family 2 TIM barrel-domain containing protein	LOKIASV2_2015_ESMFold_glycoside_hydrolase_family_2_TIM_barrel-domain_containing_protein	3cmg-assembly1.cif.gz_A	Crystal structure of putative beta-galactosidase from Bacteroides fragilis 	0.378	669	405	2	670	3	654	1.79E-83	3110
>LOKIASV2_20160 MFS transporter	LOKIASV2_2016_ESMFold_MFS_transporter	AF-O34961-F1-model_v4	Uncharacterized symporter YjmB 	0.268	478	334	3	480	1	457	2.214E-21	1044
>LOKIASV2_20170 bifunctional 4-hydroxy-2-oxoglutarate aldolase-2-dehydro-3-deoxy-phosphogluconate aldolase	LOKIASV2_2017_ESMFold_bifunctional_4-hydroxy-2-oxoglutarate_aldolase-2-dehydro-3-deoxy-phosphogluconate_aldolase	AF-O83578-F1-model_v4	Putative KHG/KDPG aldolase 	0.326	208	139	14	221	2	208	9.349E-22	823
>LOKIASV2_20180 alpha-beta hydrolase	LOKIASV2_2018_ESMFold_alpha-beta_hydrolase	4ypv-assembly1.cif.gz_A	High-resolution structure of a metagenome-derived esterase Est8 	0.292	305	214	18	320	5	309	1.878E-27	883
>LOKIASV2_20190 hypothetical protein	LOKIASV2_2019_ESMFold_hypothetical_protein	AF-P26937-F1-model_v4	Stage IV sporulation protein FB 	0.165	225	159	21	245	21	212	0.007565	107
>LOKIASV2_20200 hypothetical protein	LOKIASV2_2020_ESMFold_hypothetical_protein	AF-Q6AXS2-F1-model_v4	Transmembrane protein 252 	0.131	76	59	6	81	2	70	1.939	69
>LOKIASV2_20210 hypothetical protein	LOKIASV2_2021_ESMFold_hypothetical_protein	5wrk-assembly1.cif.gz_A	Mu2 subunit of the clathrin adaptor complex AP2 in complex with IRS-1 Y608 peptide 	0.069	396	214	108	503	12	242	0.0000000697	265
>LOKIASV2_20220 hypothetical protein	LOKIASV2_2022_ESMFold_hypothetical_protein	5a1m-assembly1.cif.gz_A-2	Crystal structure of calcium-bound human adseverin domain A3 	0.076	96	83	4	94	1	96	0.05065	70
>LOKIASV2_20230 N-A	LOKIASV2_2023_ESMFold_N-A	AF-Q8G8Y2-F1-model_v4	L-glutamine:2-deoxy-scyllo-inosose aminotransferase 	0.34	415	267	1	405	1	415	1.31E-36	1329
>LOKIASV2_20240 hypothetical protein	LOKIASV2_2024_ESMFold_hypothetical_protein	AF-Q8U147-F1-model_v4	Glycerol-1-phosphate dehydrogenase [NAD(P)+] 	0.2	327	260	7	332	12	338	7.184E-21	787
>LOKIASV2_20250 hypothetical protein	LOKIASV2_2025_ESMFold_hypothetical_protein	AF-P42300-F1-model_v4	Uncharacterized protein YxiH 	0.162	68	54	2	66	36	103	0.1817	50
>LOKIASV2_20260 hypothetical protein	LOKIASV2_2026_ESMFold_hypothetical_protein	AF-Q57660-F1-model_v4	Uncharacterized protein MJ0207 	0.25	144	97	16	159	20	149	0.000007245	197
>LOKIASV2_20270 Rab family GTPase	LOKIASV2_2027_ESMFold_Rab_family_GTPase	AF-P87027-F1-model_v4	Septum-promoting GTP-binding protein 1 	0.208	184	139	2	185	3	179	1.307E-15	491
>LOKIASV2_20280 4Fe-4S binding protein	LOKIASV2_2028_ESMFold_4Fe-4S_binding_protein	AF-Q57716-F1-model_v4	Pyruvate synthase subunit PorD 	0.25	64	47	285	347	23	86	0.003443	186
>LOKIASV2_20290 hypothetical protein	LOKIASV2_2029_ESMFold_hypothetical_protein	AF-O08725-F1-model_v4	Growth hormone secretagogue receptor type 1 	0.14	287	203	2	238	27	313	0.0003546	150
>LOKIASV2_20300 hypothetical protein	LOKIASV2_2030_ESMFold_hypothetical_protein	2zws-assembly1.cif.gz_A	Crystal Structure Analysis of neutral ceramidase from Pseudomonas aeruginosa 	0.149	466	339	1	399	3	468	6.988E-25	694
>LOKIASV2_20310 MFS transporter	LOKIASV2_2031_ESMFold_MFS_transporter	AF-Q5U3U7-F1-model_v4	Sodium-dependent lysophosphatidylcholine symporter 1-A 	0.172	500	394	1	477	22	521	2.419E-18	876
>LOKIASV2_20320 hypothetical protein	LOKIASV2_ORF_2032 not PDB100 or Swiss-Prot hit											
>LOKIASV2_20330 hypothetical protein	LOKIASV2_2033_ESMFold_hypothetical_protein	1tf8-assembly1.cif.gz_A	Streptomyces griseus aminopeptidase complexed with L-tryptophan 	0.122	381	231	11	391	7	270	5.781E-12	394
>LOKIASV2_20340 Gfo-Idh-MocA family oxidoreductase	LOKIASV2_2034_ESMFold_Gfo-Idh-MocA_family_oxidoreductase	6nor-assembly1.cif.gz_A	Crystal structure of GenD2 from gentamicin A biosynthesis in complex with NAD 	0.268	347	247	1	347	10	348	1.082E-31	1061
>LOKIASV2_20350 hypothetical protein	LOKIASV2_2035_ESMFold_hypothetical_protein	6xr1-assembly1.cif.gz_A	Computationally designed right-handed alpha/alpha single-chain toroid with 9 repeats 	0.151	468	393	7	470	45	512	0.000008653	129
>LOKIASV2_20360 hypothetical protein	LOKIASV2_2036_ESMFold_hypothetical_protein	4i99-assembly1.cif.gz_C	Crystal structure of the SmcHead bound to the C-winged helix domain of ScpA 	0.25	92	51	284	375	2	70	0.00007816	208
>LOKIASV2_20370 hypothetical protein	LOKIASV2_2037_ESMFold_hypothetical_protein	7f8f-assembly1.cif.gz_A-2	Roadblock from Odinarchaeota LCB_4 	0.481	81	40	17	97	3	80	0.000000006892	344
>LOKIASV2_20380 hypothetical protein	LOKIASV2_2038_ESMFold_hypothetical_protein	AF-B5X7X4-F1-model_v4	Ragulator complex protein LAMTOR2 	0.122	110	96	1	110	2	111	0.0000002609	262
>LOKIASV2_20390 RNA-guided endonuclease TnpB family protein	LOKIASV2_2039_ESMFold_RNA-guided_endonuclease_TnpB_family_protein	8j3r-assembly1.cif.gz_A	Cryo-EM structure of the AsCas12f-HKRA-sgRNAS3-5v7-target DNA 	0.197	413	303	1	378	1	413	3.096E-21	574
>LOKIASV2_20400 hypothetical protein	LOKIASV2_2040_ESMFold_hypothetical_protein	AF-Q6ZRR5-F1-model_v4	TLC domain-containing protein 5 	0.114	246	203	10	255	5	234	0.1729	44
>LOKIASV2_20410 hypothetical protein	LOKIASV2_2041_AF2_hypothetical_protein	AF-Q08481-F1-model_v4	Platelet endothelial cell adhesion molecule 	0.098	684	586	671	1354	18	668	1.649E-12	173
>LOKIASV2_20420 hypothetical protein	LOKIASV2_2042_AF2_hypothetical_protein	AF-Q4JC00-F1-model_v4	ATP-dependent DNA helicase Hel308 	0.181	870	565	15	884	11	701	2.715E-34	1275
>LOKIASV2_20430 hypothetical protein	LOKIASV2_2043_AF2_hypothetical_protein	AF-P51530-F1-model_v4	DNA replication ATP-dependent helicase/nuclease DNA2 	0.201	1112	807	17	1128	33	1043	1.457E-54	1791
>LOKIASV2_20440 hypothetical protein	LOKIASV2_2044_AF2_hypothetical_protein	AF-A0A1Z4F647-F1-model_v4	Ulvan lyase, long isoform 	0.096	919	805	123	1014	27	945	4.811E-18	242
>LOKIASV2_20450 hypothetical protein	LOKIASV2_2045_AF2_hypothetical_protein	4p04-assembly1.cif.gz_B	Apo form of bacterial arylsulfate sulfotransferase (ASST) H436N mutant with MPO in the active site 	0.163	458	284	42	381	101	558	7.625E-14	419
>LOKIASV2_20460 hypothetical protein	LOKIASV2_2046_ESMFold_hypothetical_protein	AF-Q5WT87-F1-model_v4	Phenylalanine--tRNA ligase beta subunit 	0.151	235	166	1	235	199	394	1.544E-10	284
>LOKIASV2_20470 hypothetical protein	LOKIASV2_2047_ESMFold_hypothetical_protein	AF-Q58184-F1-model_v4	Uncharacterized HTH-type transcriptional regulator MJ0774 	0.134	393	263	3	395	12	316	0.0002683	146
>LOKIASV2_20480 hypothetical protein	LOKIASV2_2048_ESMFold_hypothetical_protein	6ppp-assembly2.cif.gz_P	Structure of S. pombe Lsm2-8 with processed U6 snRNA 	0.205	67	52	139	204	8	74	0.0003443	147
>LOKIASV2_20490 DNA topoisomerase I	LOKIASV2_2049_ESMFold_DNA_topoisomerase_I	AF-O28469-F1-model_v4	DNA topoisomerase 1 	0.282	724	472	2	725	3	661	4.343E-53	2008
>LOKIASV2_20500 hypothetical protein	LOKIASV2_2050_ESMFold_hypothetical_protein	7b1y-assembly1.cif.gz_A	DtxR-like iron-dependent regulator IdeR complexed with cobalt and its consensus DNA-binding sequence 	0.279	118	82	24	141	5	119	0.000001273	297
>LOKIASV2_20510 hypothetical protein	LOKIASV2_2051_ESMFold_hypothetical_protein	6x8z-assembly1.cif.gz_A	Crystal structure of N-truncated human B12 chaperone CblD(C262S)-thiolato-cob(III)alamin complex (108-296) 	0.088	144	120	55	198	25	157	0.4605	40
>LOKIASV2_20520 hypothetical protein	LOKIASV2_2052_ESMFold_hypothetical_protein	AF-Q9CXT7-F1-model_v4	Transmembrane protein 192 	0.133	179	120	93	231	12	190	4.282	41
>LOKIASV2_20530 hypothetical protein	LOKIASV2_2053_ESMFold_hypothetical_protein	AF-P23070-F1-model_v4	RNA-directed DNA polymerase from retron EC86 	0.287	354	211	166	519	17	313	3.971E-23	894
>LOKIASV2_20540 hypothetical protein	LOKIASV2_2054_ESMFold_hypothetical_protein	4n72-assembly1.cif.gz_B	Catalytic domain from dihydrolipoamide acetyltransferase of pyruvate dehydrogenase from Escherichia coli 	0.177	256	183	40	295	17	239	1.409E-16	478
>LOKIASV2_20550 hypothetical protein	LOKIASV2_2055_ESMFold_hypothetical_protein	AF-Q0TMX8-F1-model_v4	Threonine--tRNA ligase 	0.296	152	105	14	163	68	219	3.392E-15	538
>LOKIASV2_20560 MSMEG_0568 family radical SAM protein	LOKIASV2_2056_ESMFold_MSMEG_0568_family_radical_SAM_protein	AF-N0DKX5-F1-model_v4	Bacteriochlorophyllide c C-7(1)-hydroxylase 	0.159	388	325	1	387	1	388	4.459E-18	497
>LOKIASV2_20570 protein arginine phosphatase PrpB	LOKIASV2_2057_ESMFold_protein_arginine_phosphatase_PrpB	AF-P39155-F1-model_v4	Protein-arginine-phosphatase 	0.276	161	106	9	169	1	148	1.223E-13	499
>LOKIASV2_20580 hypothetical protein	LOKIASV2_2058_ESMFold_hypothetical_protein	3tw8-assembly1.cif.gz_A	GEF domain of DENND 1B in complex with Rab GTPase Rab35 	0.101	273	180	13	213	21	293	0.0005285	88
>LOKIASV2_20590 SDR family oxidoreductase	LOKIASV2_2059_ESMFold_SDR_family_oxidoreductase	AF-P73212-F1-model_v4	Putative dihydroflavonol 4-reductase 	0.175	326	266	2	324	12	337	2.27E-21	717
>LOKIASV2_20600 DUF1028 domain-containing protein	LOKIASV2_2060_ESMFold_DUF1028_domain-containing_protein	2imh-assembly3.cif.gz_A	Crystal structure of protein SPO2555 from Silicibacter pomeroyi, Pfam DUF1028 	0.32	204	131	2	205	3	196	5.535E-19	697
>LOKIASV2_20610 hypothetical protein	LOKIASV2_2061_ESMFold_hypothetical_protein	AF-B5DFH9-F1-model_v4	Transmembrane protein 150C 	0.161	142	116	24	165	69	207	0.03107	114
>LOKIASV2_20620 hypothetical protein	LOKIASV2_2062_ESMFold_hypothetical_protein	8a40-assembly1.cif.gz_U	Structure of mammalian Pol II-TFIIS elongation complex 	0.208	72	52	89	160	102	168	0.01297	74
>LOKIASV2_20630 hypothetical protein	LOKIASV2_2063_ESMFold_hypothetical_protein	AF-B0G172-F1-model_v4	Probable geranylgeranyl transferase type-2 subunit beta 	0.139	312	266	2	311	21	332	0.02014	73
>LOKIASV2_20640 hypothetical protein	LOKIASV2_2064_ESMFold_hypothetical_protein	AF-Q5R891-F1-model_v4	Endoplasmic reticulum junction formation protein lunapark 	0.148	121	99	5	121	1	121	0.5966	45
>LOKIASV2_20650 hypothetical protein	LOKIASV2_2065_ESMFold_hypothetical_protein	AF-Q57874-F1-model_v4	Uncharacterized protein MJ0432 	0.305	85	58	45	129	2	86	0.000001089	287
>LOKIASV2_20660 hypothetical protein	LOKIASV2_2066_ESMFold_hypothetical_protein	AF-Q57875-F1-model_v4	Uncharacterized protein MJ0433 	0.108	189	152	5	193	1	171	0.4714	77
>LOKIASV2_20670 hypothetical protein	LOKIASV2_2067_ESMFold_hypothetical_protein	6u0o-assembly1.cif.gz_A	Crystal structure of a peptidoglycan release complex, SagB-SpdC, in lipidic cubic phase 	0.194	244	196	38	281	4	247	0.001394	157
>LOKIASV2_20680 hypothetical protein	LOKIASV2_2068_ESMFold_hypothetical_protein	4iae-assembly1.cif.gz_A	Crystal structure of BAY 60-2770 bound to nostoc H-NOX domain 	0.101	198	160	11	208	4	182	0.00167	107
>LOKIASV2_20690 hypothetical protein	LOKIASV2_2069_ESMFold_hypothetical_protein	AF-Q9CR48-F1-model_v4	DNA damage-regulated autophagy modulator protein 2 	0.161	217	169	16	218	9	225	0.00006565	230
>LOKIASV2_20700 3-ketoacyl-ACP reductase	LOKIASV2_2070_ESMFold_3-ketoacyl-ACP_reductase	5vn2-assembly1.cif.gz_D	Crystal structure of 3-oxoacyl-[acyl-carrier protein] reductase from Brucella melitensis in complex with NAD 	0.383	256	155	1	256	2	253	3.448E-26	902
>LOKIASV2_20710 FAD-binding protein	LOKIASV2_2071_ESMFold_FAD-binding_protein	AF-D9PU00-F1-model_v4	Fumarate reductase (CoM/CoB) subunit A 	0.169	654	450	2	655	3	545	7.761E-31	1002
>LOKIASV2_20720 NADH:flavin oxidoreductase	LOKIASV2_2072_ESMFold_NADH:flavin_oxidoreductase	AF-Q97E86-F1-model_v4	NADPH dehydrogenase 	0.21	409	264	34	442	2	336	3.106E-23	709
>LOKIASV2_20730 hypothetical protein	LOKIASV2_2073_ESMFold_hypothetical_protein	AF-O05389-F1-model_v4	Uncharacterized oxidoreductase YrbE 	0.17	372	276	1	372	1	334	1.431E-23	768
>LOKIASV2_20740 hypothetical protein	LOKIASV2_2074_AF2_hypothetical_protein	AF-Q00758-F1-model_v4	Stage V sporulation protein B 	0.156	528	432	373	900	3	515	0.000000002875	438
>LOKIASV2_20750 hypothetical protein	LOKIASV2_2075_ESMFold_hypothetical_protein	AF-Q58958-F1-model_v4	Putative HTH-type transcriptional regulator MJ1563 	0.225	148	110	13	160	4	146	0.0001715	212
>LOKIASV2_20760 hypothetical protein	LOKIASV2_2076_ESMFold_hypothetical_protein	AF-Q2GE03-F1-model_v4	Peptide chain release factor 1 	0.136	44	37	4	47	51	94	1.287	76
>LOKIASV2_20770 hypothetical protein	LOKIASV2_2077_ESMFold_hypothetical_protein	AF-Q6C8U1-F1-model_v4	Chitin synthase export chaperone 	0.099	234	198	20	253	62	282	0.002845	144
>LOKIASV2_20780 hypothetical protein	LOKIASV2_2078_ESMFold_hypothetical_protein	AF-Q97W92-F1-model_v4	Hexaprenyl pyrophosphate synthase 	0.121	246	211	2	242	32	277	0.03346	126
>LOKIASV2_20790 hypothetical protein	LOKIASV2_2079_ESMFold_hypothetical_protein	AF-B5QY11-F1-model_v4	Multidrug resistance protein MdtG 	0.158	429	328	14	442	13	403	4.404E-13	654
>LOKIASV2_20800 hypothetical protein	LOKIASV2_2080_ESMFold_hypothetical_protein	AF-Q9HFE5-F1-model_v4	AP-1 complex subunit mu-1 	0.148	118	96	238	355	2	115	0.005565	156
>LOKIASV2_20810 RNA-guided endonuclease TnpB family protein	LOKIASV2_2081_ESMFold_RNA-guided_endonuclease_TnpB_family_protein	AF-P54992-F1-model_v4	Putative transposase in snaA-snaB intergenic region 	0.212	396	307	1	396	3	392	2.104E-21	587
>LOKIASV2_20820 hypothetical protein	LOKIASV2_2082_ESMFold_hypothetical_protein	2xma-assembly1.cif.gz_B	DEINOCOCCUS RADIODURANS ISDRA2 TRANSPOSASE RIGHT END DNA COMPLEX 	0.296	81	56	24	104	9	88	0.000001242	252
>LOKIASV2_20830 hypothetical protein	LOKIASV2_2083_ESMFold_hypothetical_protein	AF-P54121-F1-model_v4	Protein AIG2 A 	0.188	117	86	4	120	10	116	0.0000001184	277
>LOKIASV2_20840 hypothetical protein	LOKIASV2_2084_ESMFold_hypothetical_protein	AF-Q54MC6-F1-model_v4	Latrophilin receptor-like protein A 	0.134	302	208	1	241	1	302	0.03622	66
>LOKIASV2_20850 hypothetical protein	LOKIASV2_2085_ESMFold_hypothetical_protein	AF-P54576-F1-model_v4	Methyl-accepting chemotaxis protein McpC 	0.208	810	514	12	821	4	653	1.233E-21	755
>LOKIASV2_20860 hypothetical protein	LOKIASV2_2086_ESMFold_hypothetical_protein	AF-Q7M707-F1-model_v4	Taste receptor type 2 member 109 	0.171	286	201	18	261	16	301	0.001157	146
>LOKIASV2_20870 hypothetical protein	LOKIASV2_2087_ESMFold_hypothetical_protein	5f2h-assembly1.cif.gz_B	2.75 Angstrom resolution crystal structure of uncharacterized protein from Bacillus cereus ATCC 10987 	0.247	305	227	7	311	2	304	1.143E-14	402
>LOKIASV2_20880 hypothetical protein	LOKIASV2_ORF_2088 not PDB100 or Swiss-Prot hit											
>LOKIASV2_20890 hypothetical protein	LOKIASV2_2089_ESMFold_hypothetical_protein	AF-O43041-F1-model_v4	Transport protein particle subunit trs23 	0.144	130	108	239	365	2	131	0.005368	150
>LOKIASV2_20900 hypothetical protein	LOKIASV2_2090_ESMFold_hypothetical_protein	5kax-assembly1.cif.gz_A	The structure of CTR107 protein bound to RHODAMINE 6G 	0.194	159	119	5	163	8	156	0.00000001139	332
>LOKIASV2_20910 TldD-PmbA family protein	LOKIASV2_2091_ESMFold_TldD-PmbA_family_protein	AF-O26944-F1-model_v4	Metalloprotease MTH_856 	0.28	472	323	9	480	6	454	1.399E-47	1697
>LOKIASV2_20920 TldD-PmbA family protein	LOKIASV2_2092_ESMFold_TldD-PmbA_family_protein	1vl4-assembly1.cif.gz_B	CRYSTAL STRUCTURE OF A PUTATIVE MODULATOR OF A DNA GYRASE (TM0727) FROM THERMOTOGA MARITIMA MSB8 AT 1.95 A RESOLUTION 	0.214	448	333	5	452	3	427	2.923E-34	1206
>LOKIASV2_20930 MFS transporter	LOKIASV2_2093_ESMFold_MFS_transporter	AF-B7M940-F1-model_v4	Multidrug resistance protein MdtH 	0.19	405	320	1	405	1	396	2.7E-16	822
>LOKIASV2_20940 hypothetical protein	LOKIASV2_2094_ESMFold_hypothetical_protein	AF-Q9WVT0-F1-model_v4	Adhesion G protein-coupled receptor F5 	0.108	252	214	3	243	1017	1268	0.02444	119
>LOKIASV2_20950 hypothetical protein	LOKIASV2_2095_ESMFold_hypothetical_protein	AF-Q948R8-F1-model_v4	Protein TOM THREE HOMOLOG 1 	0.125	260	224	4	263	36	292	0.005283	139
>LOKIASV2_20960 hypothetical protein	LOKIASV2_2096_ESMFold_hypothetical_protein	AF-P18816-F1-model_v4	Lactose phosphotransferase system repressor 	0.205	68	50	59	126	3	66	0.02903	105
>LOKIASV2_20970 nitroreductase family protein	LOKIASV2_2097_ESMFold_nitroreductase_family_protein	AF-O30013-F1-model_v4	Putative NADH dehydrogenase/NAD(P)H nitroreductase AF_0226 	0.329	172	113	1	170	1	172	1.278E-19	688
>LOKIASV2_20980 hypothetical protein	LOKIASV2_2098_ESMFold_hypothetical_protein	AF-Q8N682-F1-model_v4	DNA damage-regulated autophagy modulator protein 1 	0.149	222	180	11	232	10	222	0.004536	155
>LOKIASV2_20990 hypothetical protein	LOKIASV2_2099_ESMFold_hypothetical_protein	AF-O59806-F1-model_v4	Uncharacterized N-acetyltransferase C550.08 	0.197	208	157	13	209	2	209	3.458E-12	409
>LOKIASV2_21000 hypothetical protein	LOKIASV2_2100_ESMFold_hypothetical_protein	AF-P0DOA0-F1-model_v4	Sensor kinase CckA 	0.286	383	270	39	417	421	803	8.802E-27	840
>LOKIASV2_21010 hypothetical protein	LOKIASV2_2101_ESMFold_hypothetical_protein	AF-O74923-F1-model_v4	Uncharacterized transporter C757.13 	0.107	362	295	13	343	134	495	0.4963	46
>LOKIASV2_21020 hypothetical protein	LOKIASV2_2102_ESMFold_hypothetical_protein	AF-Q8YZT2-F1-model_v4	Holliday junction ATP-dependent DNA helicase RuvA 	0.181	44	34	17	59	7	50	2.164	40
>LOKIASV2_21030 hypothetical protein	LOKIASV2_2103_ESMFold_hypothetical_protein	7mo3-assembly2.cif.gz_D	Crystal Structure of the ZnF3 of Nucleoporin NUP153 in complex with Ran-GDP, resolution 2.05 Angstrom 	0.192	26	20	109	134	13	38	1.706	63
>LOKIASV2_21040 hypothetical protein	LOKIASV2_2104_ESMFold_hypothetical_protein	AF-Q6CP05-F1-model_v4	Protein FYV10 	0.102	68	60	29	96	27	94	1.698	71
>LOKIASV2_21050 hypothetical protein	LOKIASV2_2105_ESMFold_hypothetical_protein	AF-B3A0P6-F1-model_v4	Glycine and serine-rich protein 1 	0.142	42	35	6	47	155	196	2.108	41
>LOKIASV2_21060 RNA-guided endonuclease TnpB family protein	LOKIASV2_2106_ESMFold_RNA-guided_endonuclease_TnpB_family_protein	AF-P54992-F1-model_v4	Putative transposase in snaA-snaB intergenic region 	0.209	378	289	1	378	3	368	5.223E-21	607
>LOKIASV2_21070 hypothetical protein	LOKIASV2_2107_ESMFold_hypothetical_protein	AF-P21543-F1-model_v4	Beta/alpha-amylase 	0.088	644	426	3	470	2	645	0.00000005349	155
>LOKIASV2_21080 UvrD-helicase domain-containing protein	LOKIASV2_2108_ESMFold_UvrD-helicase_domain-containing_protein	AF-P15038-F1-model_v4	DNA helicase IV 	0.198	766	465	20	785	89	669	5.674E-32	1044
>LOKIASV2_21090 hypothetical protein	LOKIASV2_2109_ESMFold_hypothetical_protein	7qoo-assembly1.cif.gz_P	Structure of the human inner kinetochore CCAN complex 	0.074	210	122	66	275	5	137	0.03206	50
>LOKIASV2_21100 hypothetical protein	LOKIASV2_2110_ESMFold_hypothetical_protein	AF-P14802-F1-model_v4	Uncharacterized oxidoreductase YoxD 	0.286	230	161	8	234	9	238	3.153E-23	831
>LOKIASV2_21110 NAD-P--dependent alcohol dehydrogenase	LOKIASV2_2111_ESMFold_NAD-P--dependent_alcohol_dehydrogenase	3tqh-assembly1.cif.gz_A	Structure of the quinone oxidoreductase from Coxiella burnetii 	0.278	326	227	1	326	3	317	1.269E-32	1096
